Timestamp,Year of Study:,Gender:,Age:,CGPA (Optional):,How many hours do you spend on studying per week?,How many credits are you currently enrolled in?,"Do you participate in extracurricular activities?  (Clubbing, Volunteering, etc.)","If yes, how many hours per week do you spend on extracurricular activities?  (Leave it blank if you do not participate)",Do you have a part-time job? ,"If yes, how many hours per week? 
(Leave it blank if you do not participate)","On a scale of 1-5, how would you rate your stress level this semester?","On a scale of 1-5, how would you rate your anxiety level?","On average, how many hours of sleep do you get per night?","On a scale of 1-10, how would you rate your overall sleep quality?",Email Address
8/26/2025 22:49,3rd Year  (70.5–105 credits),Male,24,4,6,12,No,,Yes,30,3,2,4,4,
8/26/2025 22:55,1st Year  (0-35 credits),Male,20,,28,12,No,,No,,5,5,2,1,
8/26/2025 22:55,3rd Year  (70.5–105 credits),Male,23,3.95,10,20,Yes,1,No,,3,3,4,2,
8/26/2025 22:58,1st Year  (0-35 credits),Female,20,,2,9,No,,Yes,10,4,4,4,4,
8/26/2025 22:59,4th Year  (105.5–140+ credits),Female,24,3.81,2,,Yes,1,Yes,8,5,5,4,2,
8/26/2025 22:59,2nd Year  (35.5-70 credits),Male,22,3.33,12,12.5,No,2,No,,4,3,6,5,
8/26/2025 23:00,3rd Year  (70.5–105 credits),Male,22,3.55,2,12,Yes,1,Yes,30,5,3,8,8,
8/26/2025 23:00,3rd Year  (70.5–105 credits),Male,22,3.9,5,15,Yes,6,No,,4,4,7,3,
8/26/2025 23:00,3rd Year  (70.5–105 credits),Female,23,,14,,No,,No,,5,5,6,6,
8/26/2025 23:01,1st Year  (0-35 credits),Male,22,,20,9,Yes,10,No,,5,5,5,6,
8/26/2025 23:01,2nd Year  (35.5-70 credits),Male,21,3.69,2,11.5,No,,Yes,12,5,5,5,5,
8/26/2025 23:01,3rd Year  (70.5–105 credits),Male,23,3.83,7,11.5,No,,No,,5,5,4,3,
8/26/2025 23:02,3rd Year  (70.5–105 credits),Male,25,3.64,25,16,No,,Yes,8,5,4,6,8,
8/26/2025 23:02,2nd Year  (35.5-70 credits),Male,22,,7,,Yes,,No,,5,3,6,7,
8/26/2025 23:03,2nd Year  (35.5-70 credits),Male,22,3.33,6,11,No,,Yes,4,2,2,5,8,
8/26/2025 23:03,3rd Year  (70.5–105 credits),Male,23,3.2,10,11,Yes,,Yes,,4,4,6,8,
8/26/2025 23:04,2nd Year  (35.5-70 credits),Male,22,,6,11,Yes,4,Yes,8,4,5,6,4,
8/26/2025 23:04,2nd Year  (35.5-70 credits),Female,23,3.64,12,,No,,Yes,18,4,5,4,3,
8/26/2025 23:04,3rd Year  (70.5–105 credits),Male,23,3.1,5,,Yes,1,No,,5,5,4,3,
8/26/2025 23:04,2nd Year  (35.5-70 credits),Male,21,3.42,20,15,No,,No,,5,4,5,6,
8/26/2025 23:05,3rd Year  (70.5–105 credits),Male,23,3.95,16,19,No,,No,,3,2,6.5,6,
